feature,importance
cat__TotalCharges_2479.25,0.0
cat__TotalCharges_248.4,0.0
cat__TotalCharges_248.95,0.0
cat__TotalCharges_2483.05,0.0
cat__TotalCharges_2483.5,0.0
cat__TotalCharges_2483.65,0.0
cat__TotalCharges_2484,0.0
cat__TotalCharges_249.4,0.0
cat__TotalCharges_249.55,0.0
cat__TotalCharges_249.95,0.0
cat__TotalCharges_2490.15,0.0
cat__TotalCharges_2492.25,0.0
cat__TotalCharges_2494.65,0.0
cat__TotalCharges_2659.45,0.0
cat__TotalCharges_2475.35,0.0
cat__TotalCharges_266.6,0.0
cat__TotalCharges_2665,0.0
cat__TotalCharges_2673.45,0.0
cat__TotalCharges_267.6,0.0
cat__TotalCharges_267.4,0.0
cat__TotalCharges_267.35,0.0
cat__TotalCharges_2462.6,0.0
cat__TotalCharges_267,0.0
cat__TotalCharges_2467.1,0.0
cat__TotalCharges_2666.75,0.0
cat__TotalCharges_2467.75,0.0
cat__TotalCharges_266.8,0.0
cat__TotalCharges_2664.3,0.0
cat__TotalCharges_2470.1,0.0
cat__TotalCharges_2471.25,0.0
cat__TotalCharges_2275.1,0.0
cat__TotalCharges_2661.1,0.0
cat__TotalCharges_2473.95,0.0
cat__TotalCharges_2660.2,0.0
cat__TotalCharges_266.95,0.0
cat__TotalCharges_2495.15,0.0
cat__TotalCharges_2495.2,0.0
cat__TotalCharges_2496.7,0.0
cat__TotalCharges_2524.45,0.0
cat__TotalCharges_251.75,0.0
cat__TotalCharges_2511.95,0.0
cat__TotalCharges_2513.5,0.0
cat__TotalCharges_2514.5,0.0
cat__TotalCharges_2516.2,0.0
cat__TotalCharges_252,0.0
cat__TotalCharges_252.75,0.0
cat__TotalCharges_2522.4,0.0
cat__TotalCharges_253,0.0
cat__TotalCharges_251.6,0.0
cat__TotalCharges_253.8,0.0
cat__TotalCharges_253.9,0.0
cat__TotalCharges_2530.4,0.0
cat__TotalCharges_2531.4,0.0
cat__TotalCharges_2531.8,0.0
cat__TotalCharges_2537,0.0
cat__TotalCharges_2538.05,0.0
cat__TotalCharges_2538.2,0.0
cat__TotalCharges_251.65,0.0
cat__TotalCharges_251.25,0.0
cat__TotalCharges_2497.2,0.0
cat__TotalCharges_25.25,0.0
cat__TotalCharges_2497.35,0.0
cat__TotalCharges_2498.4,0.0
cat__TotalCharges_2499.3,0.0
cat__TotalCharges_25,0.0
cat__TotalCharges_25.05,0.0
cat__TotalCharges_25.1,0.0
cat__TotalCharges_25.15,0.0
cat__TotalCharges_25.2,0.0
cat__TotalCharges_25.3,0.0
cat__TotalCharges_2509.95,0.0
cat__TotalCharges_25.35,0.0
cat__TotalCharges_25.4,0.0
cat__TotalCharges_25.7,0.0
cat__TotalCharges_25.8,0.0
cat__TotalCharges_25.85,0.0
cat__TotalCharges_250.05,0.0
cat__TotalCharges_250.1,0.0
cat__TotalCharges_2509.25,0.0
cat__TotalCharges_2276.1,0.0
cat__TotalCharges_225.65,0.0
cat__TotalCharges_2274.9,0.0
cat__TotalCharges_2019.8,0.0
cat__TotalCharges_20.7,0.0
cat__TotalCharges_20.75,0.0
cat__TotalCharges_20.85,0.0
cat__TotalCharges_20.9,0.0
cat__TotalCharges_20.95,0.0
cat__TotalCharges_2000.2,0.0
cat__TotalCharges_2003.6,0.0
cat__TotalCharges_2006.1,0.0
cat__TotalCharges_2007.85,0.0
cat__TotalCharges_201,0.0
cat__TotalCharges_201.1,0.0
cat__TotalCharges_201.95,0.0
cat__TotalCharges_2010.55,0.0
cat__TotalCharges_2010.95,0.0
cat__TotalCharges_2011.4,0.0
cat__TotalCharges_2012.7,0.0
cat__TotalCharges_2015.35,0.0
cat__TotalCharges_2015.8,0.0
cat__TotalCharges_2016.3,0.0
cat__TotalCharges_20.65,0.0
cat__TotalCharges_20.6,0.0
cat__TotalCharges_20.55,0.0
cat__TotalCharges_20,0.0
cat__TotalCharges_199.75,0.0
cat__TotalCharges_199.85,0.0
cat__TotalCharges_1990.5,0.0
cat__TotalCharges_1992.2,0.0
cat__TotalCharges_1992.95,0.0
cat__TotalCharges_1993.2,0.0
cat__TotalCharges_1993.25,0.0
cat__TotalCharges_1993.8,0.0
cat__TotalCharges_20.05,0.0
cat__TotalCharges_20.5,0.0
